ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0 10
0 10
0 0
ITEM: ATOMS id x y z
18 6.37292 5.25477 0
19 6.34291 6.81195 0
20 5.18654 8.97498 0
21 1.28217 2.116 0
22 2.22599 0.33632 0
23 0.89332 5.7403 0
24 4.96355 6.31962 0
25 6.94973 8.78083 0
26 1.9296 3.93325 0
27 7.02463 2.48143 0
28 0.765865 5.31347 0
29 1.23575 2.96133 0
30 9.47352 4.39802 0
31 2.25248 3.98834 0
32 5.81801 8.23045 0
33 0.746719 9.65369 0
34 6.09924 5.55039 0
35 9.65186 4.33954 0
36 3.36072 9.34553 0
37 3.0376 5.53169 0
38 8.62164 7.83698 0
39 7.08458 3.01073 0
40 0.488293 6.89122 0
41 8.83628 8.56372 0
42 4.70382 0.505491 0
43 1.13768 5.57397 0
44 1.8412 0.180136 0
45 0.334198 4.96156 0
46 9.80695 9.60335 0
47 2.24214 5.14504 0
48 3.66245 1.5596 0
49 1.96156 4.86787 0
50 0.480123 8.543 0
51 6.94249 3.74819 0
52 0.229669 7.25454 0
53 8.20934 5.79727 0
54 6.55217 5.99581 0
55 2.18581 3.76755 0
56 4.72309 6.40835 0
57 8.84515 0.310837 0
58 5.63022 6.28212 0
59 9.77153 0.863291 0
60 7.96575 0.227156 0
61 2.80695 6.48943 0
62 6.03544 2.12239 0
63 1.92361 2.23638 0
64 2.73113 2.50489 0
65 9.949 0.307111 0
66 5.58065 2.5251 0
67 7.52615 3.38981 0
68 3.90467 0.502246 0
69 9.82546 1.84768 0
70 8.32015 0.729942 0
71 0.911167 3.56977 0
72 0.351535 2.17041 0
73 7.88547 0.373602 0
74 0.491822 2.48499 0
75 1.43117 5.63859 0
76 3.41804 6.02248 0
77 9.16806 2.89701 0
78 0.587055 4.65666 0
79 7.27195 9.83241 0
80 3.25026 6.80804 0
81 1.96598 8.12988 0
82 4.02739 0.0644236 0
83 1.75231 2.93548 0
84 1.86649 1.17228 0
85 6.04073 6.05223 0
86 2.07753 3.1243 0
87 4.29271 8.57717 0
88 0.383169 0.894424 0
89 4.17466 1.021 0
90 3.53189 9.23319 0
91 0.0293014 2.60782 0
92 4.4842 3.76139 0
93 8.86821 2.05302 0
94 1.63895 7.30802 0
95 4.44356 9.36179 0
96 5.17498 9.4644 0
97 4.93123 1.14716 0
98 4.13412 6.68002 0
99 2.98732 7.92827 0
100 9.96484 5.86516 0
ITEM: TIMESTEP
5
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0 10
0 10
0 0
ITEM: ATOMS id x y z
1 4.91968 7.9606 0
2 0.477382 2.83876 0
3 5.13721 0.090931 0
4 8.25786 4.44864 0
5 0.987445 4.59615 0
6 5.52006 4.20465 0
7 1.37748 3.83619 0
8 4.48631 6.47062 0
9 3.32036 8.78109 0
10 2.52917 9.83344 0
11 9.57525 0.66884 0
12 2.9836 8.2526 0
13 6.13175 4.27939 0
14 0.995833 4.5651 0
15 9.79274 9.48461 0
16 8.13018 8.00291 0
17 3.07937 6.02139 0
18 8.52216 5.88228 0
19 6.05824 7.24428 0
20 1.779 6.012 0
21 7.19381 8.65258 0
22 1.76292 0.639864 0
23 6.07194 8.70828 0
24 2.90523 0.437984 0
25 1.62484 5.63542 0
26 1.55057 8.94557 0
27 8.00791 3.5545 0
28 8.24126 5.8976 0
29 8.49116 9.56959 0
30 0.988717 2.65728 0
31 3.15512 3.32081 0
32 0.661527 4.72626 0
33 0.392705 1.45825 0
34 5.05469 0.29739 0
35 1.87074 5.90938 0
36 5.93131 3.87202 0
37 7.11578 7.77454 0
38 1.11325 4.2962 0
39 3.11251 3.71978 0
40 5.67197 6.71478 0
41 5.93977 7.02389 0
42 7.46187 4.91787 0
43 6.86185 5.91639 0
44 5.66653 6.00522 0
45 3.57934 3.53958 0
46 8.0279 4.37801 0
47 9.25073 7.07698 0
48 6.87686 6.97143 0
49 3.66541 9.38337 0
50 6.72232 2.50521 0
51 7.89025 4.91424 0
52 1.35911 5.2429 0
53 2.56136 0.270777 0
54 7.80522 8.83004 0
55 3.30839 3.61154 0
56 6.33129 6.93836 0
57 9.81991 3.14916 0
58 5.43925 1.68966 0
59 6.41153 0.249363 0
60 0.214013 1.15994 0
61 4.30989 6.28222 0
62 7.19286 0.412568 0
63 1.62543 4.67917 0
64 6.44945 1.84145 0
65 5.38562 6.92384 0
66 0.789266 4.05773 0
67 5.84929 3.8146 0
68 3.83744 6.31751 0
69 8.85807 9.05329 0
70 7.50414 7.76572 0
71 4.31569 0.311707 0
72 4.95934 1.32949 0
73 1.34792 1.66125 0
74 2.84532 5.16223 0
75 1.47961 6.0716 0
76 3.55799 6.90307 0
77 4.462 1.85216 0
78 1.64894 5.6339 0
79 0.201511 1.38251 0
80 8.17159 4.64659 0
81 0.557486 6.96835 0
82 3.68552 3.4244 0
83 9.11023 5.69548 0
84 0.919595 2.19083 0
85 7.36613 4.78072 0
86 2.20368 2.25461 0
87 9.98404 7.94883 0
88 6.3571 9.94463 0
89 5.10384 1.81515 0
90 5.15811 5.18581 0
91 1.55053 0.729296 0
92 3.47466 7.34126 0
93 3.95852 2.93715 0
94 2.62609 6.27462 0
95 1.81384 6.70853 0
